date,date,score_AA,score_AA,score_AA,interpretation_AA,interpretation_AA,interpretation_AA,score_NextGen,score_NextGen,score_NextGen,interpretation_NextGen,interpretation_NextGen,interpretation_NextGen
year,month,HR,HSS,2AFC,HR,HSS,2AFC,HR,HSS,2AFC,HR,HSS,2AFC
2021,1,29.545454545454547,-7.570977917981072,36.66666666666666,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,29.545454545454547,-5.90062111801242,52.31481481481482,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar
2021,2,28.94736842105263,-5.122950819672132,43.50104821802936,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,26.31578947368421,-11.413612565445025,37.9454926624738,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2021,3,42.10526315789474,7.624309392265194,54.37100213219616,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,47.36842105263158,17.83783783783784,49.68017057569296,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2021,4,54.34782608695652,16.43598615916955,65.53571428571429,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,34.78260869565217,-2.6785714285714346,54.642857142857146,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar
2021,5,50.0,19.888734353268426,53.311258278145694,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,47.91666666666666,19.08293998651382,50.13245033112583,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,6,37.5,6.005221932114886,48.95287958115184,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,39.583333333333336,9.727626459143968,54.05759162303665,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,7,29.166666666666668,5.116279069767443,52.34375,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,29.166666666666668,-1.492537313432836,52.55681818181818,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar
2021,8,31.91489361702128,4.507936507936508,55.2389705882353,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,46.80851063829788,14.42097596504006,57.99632352941177,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,9,38.297872340425535,9.615384615384617,55.54775280898876,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,36.17021276595744,7.053394858272906,52.66853932584269,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2021,10,16.666666666666668,-3.727714748784441,41.25230202578269,Regular,"Malo, menos hábil que el azar",Menos hábil que el azar,29.166666666666668,0.5484460694698354,44.19889502762431,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2021,11,26.19047619047619,-1.7187499999999998,50.0,Bueno,"Malo, menos hábil que el azar",Igual de hábil que el azar,30.952380952380956,-3.395585738539898,46.57293497363796,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar
2021,12,50.0,23.138297872340427,58.16901408450704,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,50.0,21.46739130434782,60.985915492957744,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,1,48.71794871794872,-1.167315175097272,55.02512562814071,Bueno,"Malo, menos hábil que el azar",Más hábil que el azar,33.333333333333336,3.520456707897241,58.29145728643216,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,2,32.35294117647059,-9.523809523809524,44.93243243243244,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,23.529411764705884,-18.498659517426272,33.78378378378378,Regular,"Malo, menos hábil que el azar",Menos hábil que el azar
2022,3,35.8974358974359,0.5102040816326513,49.20477137176938,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar,35.8974358974359,0.5102040816326513,47.216699801192846,Bueno,"Regular, casi igual de hábil que el azar",Menos hábil que el azar
2022,4,48.93617021276596,12.558139534883724,52.30547550432277,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,44.680851063829785,12.33859397417504,54.538904899135446,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,5,41.30434782608695,6.966292134831456,54.44264943457189,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,36.95652173913044,4.372759856630822,52.42326332794831,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,6,34.78260869565217,-7.059736229635381,49.41176470588236,Bueno,"Malo, menos hábil que el azar",Menos hábil que el azar,39.130434782608695,5.641025641025644,52.35294117647059,Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,7,60.0,30.292598967297764,63.27054794520548,Muy Bueno,"Bueno, más hábil que el azar",Más hábil que el azar,51.11111111111112,19.446704637917,57.87671232876713,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
2022,8,55.319148936170215,19.49429037520391,63.65853658536585,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar,51.06382978723404,11.68300653594771,55.203252032520325,Muy Bueno,"Regular, casi igual de hábil que el azar",Más hábil que el azar
