date,date,score,score,score,score,interpretation,interpretation,interpretation,interpretation
year,month,HR,HSS,LEPS,2AFC,HR,HSS,LEPS,2AFC
2021,1,23.601108033240997,-26.777956044515754,-12.714127423822713,23.762344410921834,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,2,57.257617728531855,35.61575497177266,26.937119113573406,72.50586468422428,Muy Bueno,"Bueno, más hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2021,3,36.56509695290859,3.554705979458895,-0.3811634349030476,52.76906938408512,Bueno,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,4,61.35734072022161,33.24297980527065,34.74875346260388,72.3876895559678,Muy Bueno,"Bueno, más hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2021,5,24.515235457063714,-0.37858611931166625,-0.40443213296398955,50.326873100217384,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,6,22.742382271468145,-5.752083837938025,-11.122991689750696,50.90424891412388,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,7,21.274238227146814,2.0934362859935667,-20.701662049861497,53.511711879291795,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,8,35.70637119113574,1.7251215473993826,-1.406925207756233,48.560478218555524,Bueno,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,9,26.066481994459835,-0.23700863517898255,-11.30664819944598,47.06380523729635,Bueno,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,10,19.418282548476455,3.724816724935447,-27.086149584487536,44.68758647781662,Regular,"Regular, casi igual de hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2021,11,20.221606648199447,-0.7686849448184657,-16.037950138504154,59.442656787059974,Regular,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Más hábil que el azar
2021,12,26.481994459833796,-14.382785145736595,-2.4279778393351825,40.06684204090946,Bueno,"Malo, menos hábil que el azar","Malo, menos hábil que la climatología",Menos hábil que el azar
2022,1,93.76731301939058,11.623772416389407,82.21052631578948,53.825561462640586,Excelente,"Regular, casi igual de hábil que el azar","Excelente, mucho más hábil que la climatología",Más hábil que el azar
2022,2,58.47645429362881,3.0947629457928603,45.67617728531856,58.58737728055792,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2022,3,41.634349030470915,8.560010742555079,12.557340720221607,59.92041594898042,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,4,49.16897506925208,-7.14264341418909,30.763711911357344,49.12030189299069,Bueno,"Malo, menos hábil que el azar","Bueno, más hábil que la climatología",Menos hábil que el azar
2022,5,52.21606648199446,18.38739334399702,22.30387811634349,68.77585951312028,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,6,28.808864265927976,-15.180850210642017,0.6041551246537381,43.013138445520646,Bueno,"Malo, menos hábil que el azar","Regular, igual de hábil que la climatología",Menos hábil que el azar
2022,7,51.91135734072022,22.239979353199256,18.75124653739612,69.2403826789408,Muy Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,8,48.03324099722992,13.489813238880613,22.278393351800553,63.23190065311923,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,9,48.14404432132964,5.548022229322278,29.887257617728526,55.45337302081931,Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
2022,10,46.42659279778393,6.47819978163146,5.824099722991691,51.166948038760715,Bueno,"Regular, casi igual de hábil que el azar","Regular, igual de hábil que la climatología",Más hábil que el azar
2022,11,58.393351800554015,-5.334258548396622,40.80470914127424,45.07283312825463,Muy Bueno,"Malo, menos hábil que el azar","Bueno, más hábil que la climatología",Menos hábil que el azar
2022,12,74.5983379501385,10.237088601004782,60.109141274238226,55.694413763352216,Muy Bueno,"Regular, casi igual de hábil que el azar","Bueno, más hábil que la climatología",Más hábil que el azar
